id_complaint,description,status,complaint_sk,id_beneficiary,id_provider
2,Always success rest maintain. Model charge price pressure dinner firm increase.,open,49,2192,333
302,Sure perform raise over. Campaign at its your.,closed,350,3216,154
14,Interest yeah couple peace dream far source. Whose choose fly my.,closed,61,1776,292
542,Material doctor agreement same. Reach high capital.,closed,589,2128,377
619,Choice tree event.,closed,666,910,631
3,Somebody need own black act. Young quite prevent.,open,50,4492,481
25,Sing reason fine. Career budget interview along within writer sport.,closed,72,2674,739
1,Aucune description disponible,closed,1,3100,78
729,Offer future add six.,open,776,3453,303
26,Wonder institution story final approach. Pattern bar program because go.,closed,73,1384,767
851,Strategy bank partner certain.,closed,898,3352,94
15,Purpose conference know individual authority control drop government. Mrs radio open way.,closed,62,4580,385
986,Forward challenge popular former choice training.,open,1034,1427,703
27,Whole family watch budget its. Television class itself individual.,closed,74,15,116
1209,Stuff half reason letter.,open,1256,227,587
4,Project network article claim who else. Citizen down group wind. Level sure foreign draw network.,closed,51,3946,562
28,Today unit serve leave. Young answer television big college fall fight we. Seem scene agency.,closed,75,885,44
29,On show four record war. Radio dog culture board. Individual artist total family brother.,open,76,3719,208
1368,Class meet wide involve such. Begin else skin although throughout.,closed,1415,3631,30
1476,Who letter boy grow.,closed,1523,4868,108
5,Avoid national parent often evidence. Help certainly event apply.,open,52,3588,336
6,Rise official stuff must five. Hotel be forward after budget same manage chance.,open,53,3383,558
30,Water put stop do win as do. Fire lose nice might price still. Red game discussion history arrive.,open,77,398,786
7,Off here goal consumer war. When administration state forget.,open,54,3542,441
1764,Result deal sign want.,open,1812,3127,151
1790,Move free artist painting simple.,open,1838,2148,269
8,How reveal must pick hear feel. Strategy ahead treat Mr nation.,open,55,1709,490
31,According man discuss ground. Involve so nothing level loss pretty. Group painting commercial.,open,78,4546,404
17,North day either security. Rock rule impact possible whom statement our. Both loss ability.,closed,64,1144,230
18,Kid state thus. Son enter clear challenge media almost southern.,open,65,1847,174
19,Attorney range act sure.,closed,66,4879,576
20,Onto stay least there either. Rate perform teacher.,closed,67,512,372
32,Main minute mother during participant such work. Wear play fish under to else issue.,closed,79,996,47
2124,Establish sort just toward live off.,open,2171,3170,354
33,Magazine our body they finish center. Subject day city structure sister. Wear art become simple.,closed,80,2650,673
9,Hope paper response. Challenge will service necessary.,closed,56,76,616
10,Will learn fish rate artist. None though feeling.,open,57,1581,543
2386,Race human agent drug. Stay indeed already glass.,closed,2433,2093,773
11,"Others collection save. During mission near enter.
Middle main necessary campaign glass matter.",open,58,4902,652
