localisation_id,ville,region,lieu,localisation,localisation_sk
25,Tunis,Grand Tunis,Ain Drahem,"Ain Drahem, Tunis, Tunisie",26
27,Tunis,Grand Tunis,Technopole El Ghazala,"Technopole El Ghazala, Tunis, Tunisie",28
29,Tunis,Grand Tunis,Yasmin Hamamat,"Yasmin Hamamat, Tunis, Tunisie",30
31,Tunis,Grand Tunis,Higher Institute of Digital Engineering,"Higher Institute of Digital Engineering, Tunis, Tunisie",32
33,Tunis,Grand Tunis,El Hamra Théatre de Tous les Arts -,"El Hamra Théatre de Tous les Arts - , Tunis, Tunisie",34
35,Tunis,Grand Tunis,Sup'Com,"Sup'Com, Tunis, Tunisie",36
37,Tunis,Grand Tunis,Lti Les Orangers Garden Villas Bungalows,"Lti Les Orangers Garden Villas Bungalows, Tunis, Tunisie",38
39,Tunis,Grand Tunis,Djerba,"Djerba , Tunis, Tunisie",40
41,Tunis,Grand Tunis,Laroussia,"Laroussia, Tunis, Tunisie",42
43,Tunis,Grand Tunis,Avenue Habib-Bourguiba,"Avenue Habib-Bourguiba, Tunis, Tunisie",44
45,Tunis,Grand Tunis,Jandouba,"Jandouba, Tunis, Tunisie",46
47,Tunis,Grand Tunis,Korbous ღ,"Korbous ღ, Tunis, Tunisie",48
1,Tunis,Grand Tunis,Théâtre de l'Opéra de Tunis -,"Théâtre de l'Opéra de Tunis - , Tunis, Tunisie",2
3,Tunis,Grand Tunis,Rades - Hammamet,"Rades - Hammamet, Tunis, Tunisie",4
5,Tunis,Grand Tunis,Théâtre de l'Opéra de Tunis -,"Théâtre de l'Opéra de Tunis - , Tunis, Tunisie",6
7,Tunis,Grand Tunis,Ecole Nationale d'Ingénieurs de Tunis - ENIT,"Ecole Nationale d'Ingénieurs de Tunis - ENIT, Tunis, Tunisie",8
9,Tunis,Grand Tunis,Radisson Blu Hotel Convention Center,"Radisson Blu Hotel Convention Center, Tunis, Tunisie",10
11,Tunis,Grand Tunis,Théâtre municipal de Tunis,"Théâtre municipal de Tunis, Tunis, Tunisie",12
13,Tunis,Grand Tunis,Théâtre Municipal de Tunis,"Théâtre Municipal de Tunis, Tunis, Tunisie",14
15,Tunis,Grand Tunis,Lamta,"Lamta, Tunis, Tunisie",16
17,Tunis,Grand Tunis,"Baboucha, Bizerte","Baboucha, Bizerte, Tunis, Tunisie",18
19,Tunis,Grand Tunis,Bardo,"Bardo, Tunis, Tunisie",20
21,Tunis,Grand Tunis,"04 Rue Moncef Bey Bab Saadoun, Tunisie","04 Rue Moncef Bey Bab Saadoun, Tunisie, Tunis, Tunisie",22
23,Tunis,Grand Tunis,Cité De La Culture De Tunis,"Cité De La Culture De Tunis, Tunis, Tunisie",24
