id_reservation,reservation_sk,service_sk,event_sk,complaint_sk,beneficiary_sk,provider_sk,subcategory_sk,date_sk,localisation_sk,budget,rating,price,marketing_spend,new_beneficiaries,visitors,reservations
14,700,16515,7604,2049,1143,15315,17952,20220800,2,0,5,2033,20156,822,4392,270
10000,1010,15891,10250,1926,2091,14729,17953,50,38,25360,5,1793,9827,794,6433,300
10004,1014,15464,10458,821,3974,14682,17951,80,8,51040,5,5201,29203,1286,13755,300
10010,1020,15662,486,1451,3058,15237,17954,95,14,6691,4,639,16348,1006,12905,300
10011,1021,16946,7706,1704,3562,14973,17953,88,17,8503,4,2748,20630,1293,12059,300
10015,1025,15770,10923,1268,2006,14809,17953,98,35,20173,4,2896,21964,1224,16940,300
10016,1026,16029,6264,2228,5000,14977,17954,78,9,10494,5,1453,15168,1136,10164,300
10017,1027,16923,7141,1353,3673,14795,17952,72,29,27634,5,5724,62581,1982,13424,300
10020,1030,17488,11698,846,2014,14658,17953,62,25,22852,5,1655,22735,1010,11235,300
10021,1031,17861,7682,1920,1304,15315,17952,87,3,44239,4,5292,26234,1500,14084,300
10023,1033,15831,10907,2178,1025,14750,17951,100,13,63467,4,8466,37140,1567,15603,300
10037,1047,16112,1619,1334,361,14824,17953,97,3,19658,4,2732,9622,1140,17052,300
10038,1048,17530,5790,1749,2194,15021,17954,15,42,11270,4,3454,10756,707,5493,300
10040,1050,16317,9661,1297,59,14750,17953,76,11,33128,5,3769,25790,1440,13345,300
10043,1053,17834,2246,1667,2877,15035,17954,42,8,11153,5,2808,16408,946,8272,300
10046,1056,15915,6952,166,467,15315,17953,46,10,30544,4,3801,8269,557,8597,300
10058,1068,16781,2446,967,303,15363,17951,60,17,49615,5,3622,40596,1344,8443,300
10060,1070,17657,3358,1498,3345,15212,17953,62,2,16759,4,3731,31485,1277,12079,300
10065,1075,17136,10259,2440,4344,15310,17951,69,22,50738,4,4937,17626,1129,9316,300
10069,1079,15765,3906,1382,4907,14972,17954,97,32,10321,4,1180,10233,1021,16934,300
10070,1080,17305,6454,1375,2784,14765,17954,40,10,7034,4,2117,9610,808,5988,300
10072,1082,17048,9922,696,3793,15147,17953,94,39,27692,5,1025,5150,714,15852,300
10075,1085,17860,10788,848,1209,15143,17952,98,28,31732,4,4799,63094,1982,16976,300
10078,1088,17581,7752,402,4928,14815,17953,95,40,28969,4,3350,24996,1189,17018,300
10081,1091,15806,7424,618,1471,15188,17951,94,15,34894,5,5781,47033,1823,15966,300
10089,1099,16613,3491,981,778,15196,17953,53,47,34425,4,2284,20248,1122,8976,300
10093,1103,17051,8796,2146,180,14973,17952,75,29,32471,5,4433,38536,1425,9527,300
10095,1105,17768,4956,1700,1996,15196,17953,89,11,26334,5,3600,17527,1221,12389,300
10096,1106,17056,1486,2511,4944,14787,17953,98,41,29921,4,4081,23238,1425,15601,300
10104,1114,17504,10448,2535,663,15196,17951,85,40,50165,4,5520,26577,1531,13932,300
10113,1123,17347,6796,1311,3395,14803,17954,99,13,15030,5,2892,3465,855,13632,300
10117,1127,15743,11584,2229,4047,14729,17953,99,33,15681,4,3695,23494,1216,14473,300
10119,1129,17534,3690,301,1402,15306,17953,96,18,32286,4,4101,36659,1446,13780,300
10137,1147,15590,10469,2301,4669,15266,17952,98,27,11467,5,1610,12393,1134,16950,300
10139,1149,17505,9759,443,4390,15210,17953,100,19,26799,5,2671,28032,1560,15797,300
10140,1150,17792,8011,2294,4566,14977,17952,62,4,44117,4,4772,47613,1862,12136,300
10145,1155,16260,3192,504,1600,14824,17954,99,31,17222,4,3052,17215,1125,13431,300
10150,1160,15560,11488,426,4118,15044,17954,76,28,10400,4,2612,10877,1102,10507,300
10153,1163,16766,3181,852,1866,15415,17954,66,43,17668,4,3152,21237,1109,9381,300
10154,1164,15886,11459,779,3249,15210,17951,86,37,43137,4,4129,58949,1982,12986,300
10162,1172,15840,5099,890,3734,14882,17954,38,37,12914,5,2951,7852,810,4901,300
10172,1182,15850,7973,735,4912,15058,17953,67,35,13940,4,4415,30758,1301,12893,300
10176,1186,15841,3220,489,3309,15212,17954,53,39,15999,4,3996,18840,802,7792,300
10178,1188,16348,9297,12,2962,15188,17953,81,12,26101,4,1591,39110,1601,13477,300
10181,1191,16250,5909,1718,2640,15310,17953,97,13,23594,4,2537,35948,1571,14894,300
10182,1192,17754,6195,154,2186,14718,17954,94,32,7685,4,1826,7695,1048,12398,300
10201,1211,15915,8844,546,344,15087,17951,95,43,25276,5,1667,6073,745,14425,300
10206,1216,16258,8175,1034,2301,15118,17951,89,31,50913,5,8769,40517,1832,11441,300
10212,1222,16717,11649,2015,3804,14746,17951,49,41,53934,5,3397,47578,1465,9354,300
10217,1227,16168,6590,2371,571,14992,17951,97,7,64917,4,7315,29243,1530,17159,300
10218,1228,16760,2283,1489,4817,14821,17954,96,5,21505,4,1142,5374,869,13718,300
10219,1229,15899,5616,1744,1831,15240,17953,91,47,18740,4,2993,17586,1328,12167,300
10221,1231,16474,5797,2070,1979,14909,17951,98,12,8087,4,2298,9535,1084,13951,300
10223,1233,15455,11581,223,3757,14803,17952,68,6,14655,4,1996,13773,893,10494,300
10225,1235,17498,8910,108,3343,15239,17954,80,27,12015,5,2358,8459,1032,11049,300
10228,1238,15738,638,482,2386,14926,17953,82,6,30506,5,4931,19575,1249,10769,300
10233,1243,16666,9895,2408,2928,15441,17952,12,3,52231,4,8706,51004,1715,2821,238
10235,1245,17628,4235,421,3037,15240,17954,97,48,20129,4,1303,19109,1114,14482,300
10249,1259,17469,10123,708,192,15415,17953,73,14,23574,4,4441,32217,1453,10887,300
10262,1272,16181,6460,2139,952,15110,17951,96,10,63179,4,6394,39086,1612,17094,300
10266,1276,17467,3019,930,4727,14937,17952,75,35,46865,5,5684,25486,1421,10996,300
10276,1286,16910,3802,1559,4435,14964,17954,99,15,7452,5,2210,15147,1054,13360,300
10291,1301,16693,278,1216,2328,14857,17952,88,19,20525,4,2889,12112,922,15258,300
10306,1316,16199,5492,782,1077,15107,17951,95,23,52030,4,3256,58479,1982,16369,300
10312,1322,16663,8082,776,2708,15388,17953,95,27,38272,5,4527,27532,1563,16257,300
10325,1335,17502,5339,401,803,15185,17954,94,31,15887,5,1893,8983,862,12626,300
10326,1336,16686,9949,913,962,14798,17952,81,33,8108,5,3018,7316,836,12641,300
10331,1341,17167,28,2223,4997,14909,17952,87,19,52446,5,8133,44505,1712,11349,300
10332,1342,17093,5388,442,4863,15400,17951,97,38,25539,4,5763,53224,1952,17467,300
10337,1347,17637,6972,1367,4702,14787,17953,95,13,11428,5,1576,14064,1065,13797,300
10344,1354,17538,4602,701,4965,14964,17951,83,23,59463,4,5536,52710,1858,11408,300
10345,1355,15838,1707,2073,2238,15089,17954,78,5,15848,5,1300,6480,931,13957,300
10346,1356,15745,9969,1055,4026,14979,17953,43,5,28070,4,3691,32127,1402,8445,300
10347,1357,17816,10197,893,4427,15424,17953,66,28,17159,5,2266,5938,823,12022,300
10349,1359,17027,9131,1756,4409,15069,17954,31,14,18264,5,3241,18628,1009,3136,265
10356,1366,17381,10176,449,1824,15279,17953,75,44,17064,5,1926,16835,1191,11916,300
10365,1375,15470,2149,2416,4120,14795,17954,84,8,11804,4,2901,17814,1274,14992,300
10369,1379,15854,7278,1835,347,14821,17954,84,30,10617,5,1241,3189,725,13573,300
10371,1381,16103,10989,1162,582,14926,17954,96,25,10309,4,877,12827,919,15377,300
10372,1382,16937,5574,767,1716,15186,17951,70,20,41186,5,7478,37050,1660,12611,300
10377,1387,16293,6685,1992,1857,15446,17954,85,4,21742,5,1608,19741,1204,14362,300
10378,1388,15592,11506,1490,2264,15363,17952,93,7,44798,5,8569,49785,1982,14258,300
10380,1390,16501,8711,265,331,15369,17953,65,4,30350,4,3357,25382,1165,11098,300
10383,1393,17170,9745,2376,1828,15237,17953,91,32,16252,4,2327,8434,900,13572,300
10387,1397,16485,7209,2334,3511,14734,17951,53,32,25907,4,6975,54503,1814,9213,300
10396,1406,17490,9088,2250,2022,14979,17954,69,25,6272,4,2530,11783,1080,10136,300
10401,1411,16172,2360,1284,483,14971,17953,66,38,37365,4,4112,16519,1175,10772,300
10402,1412,16725,295,2101,2582,15428,17951,88,24,31692,5,8134,25873,1497,12068,300
10407,1417,17512,618,865,1392,15352,17951,93,32,32491,5,7678,28114,1605,15434,300
10408,1418,16207,9927,1942,847,14852,17953,94,44,11992,5,3444,8875,1027,16602,300
10417,1427,17716,11362,1417,2161,15422,17954,95,5,5338,4,1480,10837,1162,15157,300
10420,1430,15722,10110,218,1895,15399,17952,93,21,58128,4,4515,23951,1230,15712,300
10423,1433,16545,3692,1295,2736,14682,17952,100,43,26671,4,6717,45898,1982,15041,300
10431,1441,17330,1637,409,4949,15044,17953,98,37,15454,4,1327,20224,1115,16978,300
10437,1447,15712,2000,820,363,15209,17953,99,15,26252,5,3447,14161,1001,12974,300
10440,1450,15990,4349,2329,3194,15352,17952,29,24,35504,4,7472,46519,1377,3520,300
10442,1452,17445,2207,1853,2020,15049,17951,88,17,25996,5,3214,24872,1419,15234,300
10458,1468,16727,8649,2441,1009,15003,17951,60,12,38069,4,3157,39082,1549,8631,300
10470,1480,16044,4712,288,4127,15425,17953,80,43,21920,5,2668,33945,1599,13660,300
10479,1489,15696,7552,2493,3718,15181,17954,98,32,14006,5,990,16843,1136,13773,300
10490,1500,15913,11723,439,4637,15110,17952,50,25,17697,4,1230,14425,1038,7903,300
10494,1504,16988,4969,2283,3438,14976,17951,94,29,53947,4,4636,43385,1644,16712,300
10496,1506,17717,8922,2082,1401,14879,17954,92,22,27599,4,3508,7853,796,12750,300
10520,1530,17097,1408,1102,3851,14815,17951,76,20,29802,4,3097,17263,1107,12287,300
10545,1555,16637,8924,429,2457,15272,17954,79,13,14851,4,811,5566,793,13163,300
10554,1564,16920,8327,1483,912,15107,17953,100,10,32018,5,3881,29444,1538,14579,300
10558,1568,17902,6929,1551,3995,14971,17952,95,33,46956,5,5519,43250,1599,12720,300
10559,1569,17491,2034,1995,1196,14941,17953,97,24,33861,5,2152,22592,1390,12966,300
10562,1572,17027,7602,332,907,15428,17954,25,15,12793,5,514,3810,680,4339,300
10565,1575,15959,838,431,4446,14821,17952,95,31,52134,5,4054,29365,1263,15667,300
10571,1581,17240,8622,1697,4087,14941,17952,91,12,40946,4,7914,44215,1786,13000,300
10589,1599,15844,1344,1818,27,14709,17952,94,6,45035,4,5984,25680,1345,13103,300
10595,1605,16999,9104,2327,4700,14734,17951,27,32,39061,4,8975,60743,1830,3572,300
10606,1616,16823,2193,1392,639,14661,17953,90,30,23629,4,3927,25743,1268,12031,300
10611,1621,16673,8224,2200,55,15344,17951,98,39,46848,5,5607,45263,1891,16023,300
10615,1625,16314,8516,324,2874,15064,17953,98,14,25877,5,3413,29127,1642,13945,300
10647,1657,17730,2531,2144,2604,14661,17953,69,24,32769,5,4988,25359,1240,9801,300
10652,1662,16366,4826,1156,1121,14682,17953,72,2,38175,4,4444,31068,1554,10624,300
10659,1669,15560,9820,661,3575,14653,17951,84,29,27076,5,7995,57898,1982,13017,300
10662,1672,16052,9449,2494,4196,15102,17952,88,36,8379,4,3257,5000,1027,15051,300
10665,1675,15583,8186,487,2656,14976,17953,64,46,26171,4,4178,9865,956,9070,300
10668,1678,17319,938,456,2142,15260,17953,54,44,39798,4,2514,37087,1615,9138,300
10670,1680,17125,5299,1620,1639,15239,17953,75,25,19779,5,3560,35018,1425,13824,300
10683,1693,17847,5265,1837,4501,15279,17953,96,15,20140,5,3152,11049,1122,16114,300
10685,1695,17329,1377,561,637,14802,17951,89,39,31164,5,4312,35629,1702,16253,300
10689,1699,17595,8396,1323,4512,15003,17951,32,40,40153,4,7620,37110,1207,4721,300
10690,1700,16747,2456,1398,468,15035,17953,78,27,15015,5,2133,15624,1051,10357,300
10700,1710,15918,4636,177,4720,14972,17952,65,12,26622,5,5929,64755,1982,10940,300
10702,1712,17535,1713,1345,873,15263,17952,57,43,56728,5,7604,50674,1898,8430,300
10705,1715,16628,4004,616,3736,15285,17951,96,6,21766,5,1940,15880,1262,12950,300
10715,1725,16681,2748,1891,2002,15252,17952,54,20,38895,4,7768,42090,1528,10624,300
10720,1730,17438,4407,990,2498,15107,17954,97,19,23234,5,2505,24564,1389,13541,300
10721,1731,16172,7098,1335,1706,14709,17952,88,18,63037,5,4545,41133,1656,13721,300
10733,1743,16654,360,1829,1526,14658,17951,92,6,35841,5,3543,16941,1000,12277,300
10735,1745,15905,9456,1292,4705,15199,17953,97,16,17339,5,1985,23302,1355,15773,300
10738,1748,16215,11256,1213,2744,14926,17951,77,9,30574,4,6745,22090,1067,11084,300
10739,1749,17910,5477,1857,1432,15202,17954,100,25,15532,4,671,6931,802,14254,300
10742,1752,17931,2197,448,4014,14680,17952,89,8,60210,5,8216,64540,1982,12938,300
10754,1764,15501,10950,1097,4838,15110,17954,96,18,16799,5,1310,9847,1083,15558,300
10762,1772,16308,6416,2537,3818,15107,17952,83,10,29806,4,8716,39368,1789,12475,300
10768,1778,15503,6501,1563,3825,14727,17953,72,44,28158,4,2423,35271,1461,11469,300
10774,1784,16353,10188,1794,4165,15306,17954,15,8,7471,5,1542,3017,356,3279,300
10784,1794,17510,8848,2536,1733,14746,17951,99,35,19224,5,2925,16674,1065,15589,300
10787,1797,17578,5285,2476,118,15194,17953,81,15,26344,5,3144,8725,885,14051,300
10788,1798,15826,6436,1299,504,14971,17952,79,9,11871,4,1714,20623,1056,13119,300
10789,1799,15951,6048,425,135,15365,17951,91,33,48513,5,7444,45499,1964,16418,300
10793,1803,15924,4012,383,1307,15044,17954,49,13,26348,5,2792,17483,1064,7769,300
10811,1821,15496,828,24,2790,15009,17952,91,47,9425,4,3125,9839,987,13137,300
10816,1826,15552,9804,794,615,15422,17953,70,19,12254,4,3449,16443,1109,11746,300
10817,1827,15860,5103,2174,4089,15071,17952,88,13,30825,4,3449,63760,1982,12860,300
10824,1834,15448,2731,1939,3109,15192,17954,59,43,10399,5,1884,11230,1008,10021,300
10826,1836,17469,3509,1546,4809,15279,17954,94,16,5175,5,535,4028,1025,16393,300
10832,1842,17269,9287,410,3503,14887,17952,60,33,43477,5,5649,32240,1390,7730,300
10834,1844,16965,8605,2528,1392,14809,17954,83,9,6574,4,2905,7310,691,14793,300
10836,1846,16732,532,589,3774,15202,17953,82,46,15696,4,1530,18338,1197,14937,300
10842,1852,17122,6284,1379,2171,15381,17953,97,33,10016,4,3878,14860,1054,14825,300
10846,1856,17278,11509,746,2357,14973,17953,79,27,39234,4,3222,34930,1660,11205,300
